Year,Expenditures,Revenue,CostToContinue,RevenueIncrease,IncrementalGap,RunningBudgetGap,GapAsPercentageOfExpenditures,HealthInsurance,HealthInsuranceDelta,HealthInsuranceCostToContinuePortion,HealthInsuranceOverallPortion,Assessor,Attorney,Civil_Rights,Clerk,Employee_Assistance_Program,Finance,Human_Resources,Information_Technology,Common_Council,Mayor,Municipal_Court,Building_Inspection,Community_Development_Division,Economic_Development_Division,PCED_Office_of_the_Director,Planning_Division,Library,Fire_Department,Office_of_the_Independent_Monitor,Police_Department,Public_Health,Engineering_Division,Parks_Division,Streets_Division,Metro_Transit,Traffic_Engineering,Transportation_Department,Direct_Appropriation
2045,789276630.1231254,474209534.53984666,31689003.80683279,8895614.740246952,22793389.06658584,315067096.5832788,0.3991846262243049,117143269.29273273,8033587.357893571,0.25351340821137985,0.14841851997373676,8445617.232777856,8047936.278468078,6658906.919948287,8388652.430350576,1304790.8549240842,13986024.261602482,5871546.170886287,21917936.623643793,2494092.6482150652,4227134.046530221,1365349.2230654275,13576049.321740225,29688613.166318297,5796849.348881118,1653592.2269178065,8930587.692328116,47195941.57369924,168644597.0127021,1075223.2650194122,210920366.63677076,23509804.0583914,9613320.150633879,40878424.51015518,61538278.30681517,35833627.881168574,23364551.39401444,1387001.8588678369,22961815.02828954
2046,822399577.3837748,483311255.4736713,33122947.260649323,9101720.933824658,24021226.326824665,339088322.91010344,0.41231577962237576,125760234.60097772,8616965.308244988,0.2601509231783279,0.15291865178365893,8832550.772331256,8404169.35616536,6954180.2843200015,8714782.200402096,1365520.8195176783,14625199.457515867,6153116.512772609,22808200.805777535,2591906.7077435977,4425949.655348144,1446884.084042008,14181660.031700693,30635332.52411355,6042622.343881328,1724754.3718806987,9296363.912493426,49158249.74870174,176052466.3745588,1114952.879722417,219867822.65235138,24450196.220727056,9890343.676954724,42694268.37313762,64015126.75953729,37266972.99641532,24360477.563104212,1445218.6691371016,23880287.629421122
2047,857028533.9869344,492624532.62521636,34628956.603159666,9313277.151545048,25315679.45161462,364404002.36171806,0.4251947139571825,135002475.0865328,9242240.485555083,0.26689341499569724,0.1575238976682554,9238815.707517814,8776968.241811773,7263069.756569203,9054223.49813411,1429183.4522850562,15293448.317827437,6447756.82123452,23736703.290413182,2693780.7284543538,4633766.883001875,1532584.2304085568,14816948.715081297,31615444.643349268,6299817.994439695,1799257.3549994912,9678218.752303744,51211165.508705124,183815165.55715936,1156248.22006291,229230567.79329282,25428204.06955614,10180517.946155025,44595565.34099372,66600673.768565215,38757651.91627193,25401161.88996942,1506124.4537732173,24835499.13459797
2048,893239607.3391078,502154989.61463785,36211073.35217333,9530456.989421487,26680616.36275184,391084618.7244699,0.43782722520498274,144914869.8440209,9912394.757488102,0.2737393244625591,0.16223515913687614,9665484.176718595,9167185.078681335,7586275.279621339,9407569.11443798,1495936.898287225,15992257.23174766,6756141.127334917,24705351.705765896,2799897.7457735473,4851034.091718858,1622687.6212186865,15483526.995844001,32630377.690163642,6569028.568555314,1877275.7341671407,10076938.057684276,53359429.86675538,191951527.25078967,1199177.828784731,239029907.98216313,26445332.232338388,10484541.384628294,46586832.45161429,69300265.90678734,40307957.99292281,26488892.383380115,1569855.841241188,25828919.09998189
2049,931113193.9776233,511908430.32021415,37873586.63851559,9753440.7055763,28120145.93293929,419204764.6574092,0.4502189071842146,155545490.46274188,10630620.618720978,0.28068692622605107,0.16705325568233756,10113693.52814594,9575720.774653448,7924536.948627414,9775441.508800164,1565948.7331965913,16723197.749725696,7078982.179305135,25716162.317885652,2910450.03948163,5078224.5634943945,1717447.0469733328,16183102.881014552,33681633.572978154,6850880.558172763,1958994.207593288,10493350.849541055,55608061.40704036,200481490.24403048,1243813.660924101,249288365.38404316,27503145.521631923,10803153.59935206,48672852.46892155,72119546.12233827,41920276.31263973,27626088.750638112,1636557.182493299,26862075.863981165
2050,970734243.2536553,521890845.8323338,39621049.27603197,9982415.51211965,29638633.76391232,448843398.4213215,0.4623751573004287,166945826.43680558,11400335.974063694,0.28773432764588897,0.17197891966522727,10584650.544363696,10003528.0374079,8278637.516731881,10158494.479244485,1639396.5670215506,17487931.899609223,7417033.859825624,26771266.81855408,3025639.6572388266,5315838.019211747,1817131.1057217033,16917486.937208585,34770792.31781471,7146036.825551755,2044608.2517914707,10928331.93890014,57962373.87676707,209426169.48117113,1290231.2759849816,260029753.97425026,28603271.3424972,11137137.995657481,50858690.75766635,75064471.82508941,43597087.36514532,28815310.657440163,1706381.0272480848,27936558.89854041
2051,1012192538.1619165,532108421.71311665,41458294.90826118,10217575.880782843,31240719.027478337,480084117.44879985,0.4743011821847699,179171026.39029244,12225199.95348686,0.2948794681628551,0.1770127911786988,11079635.950372469,10451614.60876999,8649405.065558098,10557414.935173005,1716468.6880960935,18288217.85244737,7771093.762225106,27872919.560569033,3145678.970486051,5564402.236204144,1922025.2452622675,17688598.879227635,35899516.72509032,7455198.891132671,2134324.8016970977,11382804.710962778,60427994.94539394,218807930.76281896,1338510.0419812414,271279260.0591151,29747402.19619709,11487324.568913762,53149713.27886164,78141334.14705268,45340970.859751135,30059266.53272894,1779488.6313459186,29054021.254482027
2052,1055582994.4669472,542567545.5760833,43390456.3050307,10459123.862966657,32931332.442064047,513015449.8908639,0.4860020032341736,192280156.22103715,13109129.830744714,0.3021201191936955,0.182155412912971,11600009.224619303,10921046.71164178,9037715.851536274,10972924.779811746,1797364.750074478,19125915.961560406,8142005.936331663,29023505.270693675,3270791.264835258,5824474.770856085,2032432.8759771623,18498474.59876896,37069557.32673485,7779109.372468924,2228362.975768437,11857744.089379242,63010886.21046409,228650470.4046235,1388733.3521204386,283063528.083791,30937298.284044974,11854592.8819389,55551605.78194858,81356778.45546187,47154609.69414118,31360822.955421474,1856050.4972715406,30216182.10466131
2053,1101005979.3541713,553274815.0010045,45422984.88722408,10707269.424921155,34715715.46230292,547731165.3531668,0.49748246206115543,206336475.34327966,14056319.12224251,0.3094538845727875,0.18740722504006074,12147213.733621595,11412952.723873377,9444497.339959294,11405782.909417734,1882296.5048590386,20002995.200115554,8530663.81544286,30225547.27261895,3401211.367205332,6096644.793290513,2148676.559145654,19349273.663217474,38282757.66376078,8118554.584451789,2326954.8491180413,12354179.692813221,65717364.53471625,238978900.19060808,1440988.8549560704,295410752.08388394,32174790.21540677,12239875.240758102,58070394.27500727,84717826.20266294,49040794.081906825,32723014.662429534,1936246.9500764376,31424829.38884776
2054,1148567650.9175355,564237045.799783,47561671.56336427,10962230.798778534,36599440.76458573,584330606.1177526,0.5087472258608006,221407732.29137978,15071256.94810012,0.3168782015581888,0.19276856014054355,12722782.212317113,11928527.094409313,9870731.439464588,11856787.336884517,1971488.5845901258,20921540.024173986,8938013.336666115,31481716.25450269,3537186.3121113237,6381535.041668469,2271099.2759160455,20243287.3165445,39541059.905786164,8474367.311753105,2430346.277930687,12873199.196690384,68554124.80495514,249819837.98065645,1495368.6988907827,308350773.1620707,33461781.824023046,12644160.082196292,60712466.85989928,88231898.20267881,51002425.8451831,34149055.220084645,2020268.7510863587,32681822.56440167
2055,1198380319.8848739,575461280.650016,49812668.96733832,11224234.850232959,38588434.117105365,622919040.2348579,0.519800792702187,237566481.03440762,16158748.743027836,0.32439034241716636,0.198239638195352,13328342.613771744,12469034.518093074,10317457.950508598,12326777.447896926,2065179.3360419427,21883757.69001909,9365056.267718455,32794839.61801526,3678976.0496768877,6679803.904140709,2400065.7824721937,21182947.01653625,40846510.83547729,8847429.765158938,2538797.778646798,13415951.913902689,71528264.20936593,261201504.35633883,1551969.7919723997,321915183.3969176,34800253.09698397,13068495.587716207,63484597.02518573,91906839.43044224,53042522.87899042,35642348.40396371,2108317.7519420665,33989095.46697774
2056,1250562835.0776207,586954798.1136757,52182515.19274688,11493517.463659763,40688997.729087114,663608037.963945,0.5306474967511374,254890419.44509795,17323938.410690337,0.33198741660306713,0.20382056166676124,13965624.353501193,13035814.386633255,10785778.24232855,12816636.398334181,2163621.7109975424,22891986.056547172,9812853.754170196,34167911.44835065,3826854.1981128426,6992147.637038788,2535964.0573121193,22170833.544923954,42201268.22244406,9238676.73426647,2652585.465628607,13983652.609178187,74647308.13658746,273153825.7155948,1610894.0779881044,336137436.61895204,36192263.22086333,13513993.538901659,66393968.49603248,95750945.44623777,55164223.79415004,37206500.335192904,2200607.591695416,35348659.28565685
2057,1305240994.2034929,598725122.0592234,54678159.125872135,11770323.9455477,42907835.180324435,706515873.1442695,0.5412915134307531,273462751.46680766,18572332.02170971,0.33966637353234913,0.20951131069376572,14636464.975398887,13630285.53443178,11276859.173878018,13327293.662206404,2267084.216421585,23948701.905608583,10282530.102074005,35604103.147365086,3981108.843589638,7319302.728478696,2679206.8469638145,23209686.729498364,43607607.61279461,9649098.949870301,2772002.051280917,14577585.562828608,77919237.80694441,285708544.2549294,1672248.8299298494,351052966.5187828,37639953.749697864,13981833.431042027,69448201.74711837,99772990.55489047,57370792.745916046,38845332.424600676,2297364.4398687645,36762605.657083124
2058,1362547981.6897523,610780031.5063481,57306987.48625946,12054909.44712472,45252078.03913474,751767951.1834042,0.5517368645257582,293372574.62918407,19909823.162376404,0.3474240059669896,0.21531173842800058,15342817.268118173,14253951.299253946,11791937.275282681,13859727.740035152,2375851.9285115963,25056529.8154384,10775276.811943324,37106774.774892986,4142043.390628971,7662048.41717591,2830233.3168989755,24302415.819974616,45067929.562344134,10079746.670277033,2897357.912870419,15199108.900657924,81352519.75381088,298899335.3078541,1736146.9619764723,366699312.58385515,39145551.89968578,14473266.862402873,72655382.29183479,103982257.81671476,59665624.45575269,40562895.17960977,2398827.788584395,38233109.88336645
2059,1422624835.3811116,623127570.9134687,60076853.69135928,12347539.407120585,47729314.284238696,799497265.4676429,0.5619874232361921,314715294.6777222,21342720.04853815,0.3552569540040314,0.22122156653719047,16086756.862740098,14908404.919087002,12332323.207495341,14414969.038257038,2490227.5749886697,26218251.624721795,11292356.881137049,38679487.146378055,4309977.466350731,8021209.37693922,2989510.8148711035,25452110.56224111,46584767.343383834,10531733.506762216,3028982.230578306,15849659.20795981,84956137.28117041,312761932.5404444,1802707.3612153027,383116254.3943933,40711373.97567321,14989622.217973946,76024090.86883666,108388571.03522666,62052249.433982804,42363482.932519704,2505251.29708292,39762434.27870111
